university,file_path,status_or_license
Narxoz University,logos/000001_Narxoz University_Narxoz%20University%20logo.svg,ok
Yeshiva University,logos/000004_Yeshiva University_Yeshiva%20univ%20logo.png,ok
Western Carolina University,logos/000006_Western Carolina University_Western%20Carolina%20University%20Logo.svg,ok
Narxoz University,logos/000002_Narxoz University_Narxoz%20University%20logo%202020.svg,ok
"University of California, Santa Cruz",logos/000003_University of California_ Santa Cruz_The%20University%20of%20California%201868%20UCSC.svg,ok
Castleton University,logos/000005_Castleton University_Castleton%20univ%20textlogo.png,ok
Central Washington University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/8/8f/Cwu_university_logo.svg
University of Bridgeport,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/c/c1/Bridgeport_univ_textlogo.png
Industrial University of Santander,logos/000007_Industrial University of Santander_Universidad%20Industrial%20de%20Santander%20logo.svg,ok
Oakwood University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/a1/2017acornlogo_copy.png
Gallaudet University,logos/000011_Gallaudet University_Gallaudet%20University%20logo.svg,ok
Centre for Studies on Federalism,logos/000009_Centre for Studies on Federalism_Sede%20CSF%20-%20Moncalieri.jpg,ok
Khakassian State University named after N.F. Katanov,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/4/4d/Logokhsu.jpg
Alliant International University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/9a/Alliant_International_University_Logo_-_Horizontal_Lg_v2.jpg
Prague University of Economics and Business,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/c/c9/Logo_-_Vysok%C3%A1_%C5%A1kola_ekonomick%C3%A1_v_Praze_%28V%C5%A0E%29.png
"University of California, San Francisco",,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/62/University_of_California%2C_San_Francisco_logo.svg
Vrije Universiteit Amsterdam,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/e/ea/Maagd_in_de_tuin.gif
Hokkaido University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/76/Hokkaido_University_logo%2C_2.svg
Tokyo University of Science,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/1a/%E6%9D%B1%E4%BA%AC%E7%90%86%E7%A7%91%E5%A4%A7%E5%AD%A6.svg
Okayama University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/66/Okayama_University_communication_logo.jpg
The University of the Arts,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/8/8d/University_of_the_Arts_logo.svg
Chiang Mai University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/e/e7/CMU_sub-logo.svg
Chiba Institute of Technology,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/c/c7/Chibatech_logo.png
University of Wales,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/da/University_of_Wales.svg
University of Milan-Bicocca,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/7/7b/Milano-Bicocca_University_logo_on_transparent_background.svg
China University of Geosciences,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/f9/CUG_State_Key_Laboratories.jpg
Ehime University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/1/14/Ehime_University_logo.svg
Leonardo Da Vinci University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/fc/Logo-upd.png
Chuo University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/0e/Chuo_University.svg
"City, University of London",,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/0/09/City%2C_University_of_London_Logo%2C_Sep_2016.jpg
Antenor Orrego Private University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/3c/Upao.jpg
Colorado School of Mines,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/6/64/Colorado_school_mines_logo.png
Colorado State University Pueblo,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/f/f5/Csu_pueblo_univ_textlogo.png
University of Richmond,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/d/d0/UR_Shield.svg
École des chartes,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/8/84/Logo_Ecole_nationale_des_Chartes_PSL.svg
École pratique des hautes études,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/9/94/Logo_EPHE_-_PSL.svg
"Paris Observatory, PSL University",,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/e/e5/Observatoire_de_paris-comarquage-noir.svg
United States Naval Academy,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/8/84/United_States_Naval_Academy_insignia_2.png
Sciences Po,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/5/53/Logo_Sciences_Po.svg
Grenoble Alpes University,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/b/bb/Logo_Universit%C3%A9_Grenoble-Alpes_%282020%29.jpg
PSL Research University,logos/000041_PSL Research University_LOGO-PSL-nov-2017.png,ok
Paris Dauphine University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Dauphine%20logo%202019%20-%20Bleu.png
"AgroParisTech, Paris-Saclay University",,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AgroParisTech.png
"Nakhimov Naval School, Saint Petersburg",,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Great%20emblem%20of%20the%20Nakhimov%20Naval%20School.svg
Institut national des langues et civilisations orientales,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/a/ac/Logo_inalco.svg
Imam Khomeini Naval University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/IKUMS.svg
CentraleSupélec,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Ecole%20Centrale%20Supelec%20logo.svg
Catholic University of Eichstätt-Ingolstadt,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/KU%20Eichst%C3%A4tt-Ingolstadt%20Logo.svg
Oklahoma Baptist University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Obu%20simple%20logo.png
Regent University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Regent%20univ%20textlogo.png
CentraleSupélec,,download-error:429 Client Error: Too many requests (1059162) for url: https://www.wikidata.org/.well-known/genid/3bad55526f3eded528c18c95042cd1c3
Friedensau Adventist University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Theologische%20Hochschule%20Friedensau%20Kopf.jpg
United States Merchant Marine Academy,,download-error:429 Client Error: Too many requests. Please contact noc@wikimedia.org for further information (0068e25) for url: https://upload.wikimedia.org/wikipedia/commons/3/3c/USMMA_Wordmark.png
Baylor University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Baylor%20Seal.png
Augustana Divinity School,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Augustana-Hochschule%20Neuendettelsau%20Logo.svg
Biola University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Biola%20univ%20text%20logo.png
Protestant University for Applied Sciences Freiburg,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20der%20EH%20Freiburg.jpg
Catholic University of Applied Sciences Mainz,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/KH-Logo.jpg
Theological Faculty of Paderborn,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Theologische%20Fakult%C3%A4t%20Paderborn%202024-07-23.svg
Munich School of Philosophy,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/HfPH%20Logo%20CMYK.png
Oakwood University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/2017acornlogo_copy.png
Protestant University Ludwigsburg,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Eh%20logo%20rz.jpg
International Christian University,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/ICU%20Logo.svg
Rheinland-Westfalen-Lippe University of Applied Sciences,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Evangelische%20Hochschule%20Rheinland-Westfalen-Lippe%20Bochum%202024-06-06.svg
Protestant University of Applied Sciences Berlin,,download-error:429 Client Error: Too many requests (1059162) for url: https://commons.wikimedia.org/wiki/Special:FilePath/Evangelische%20Hochschule%20Berlin%20Logo.svg
